"tau","Huber_MSE","Huber_Bias","MoHuber_MSE","MoHuber_Bias"
0.1,0.00884554302568062,0.105575947018731,0.0100905852276405,0.113712299481146
0.4,0.00881370221831314,0.105463762606277,0.00956948194252978,0.110333087833595
0.7,0.00984234293827691,0.112006321826855,0.00969115331858618,0.111605203134401
1,0.0113672883979599,0.119988707695547,0.0103736836017169,0.114337137467729
1.3,0.0131298993636865,0.128535315657096,0.0111581297228,0.119123984101473
1.6,0.0150802471237424,0.137381404370935,0.0121987217848414,0.12459062865301
1.9,0.0171211657499774,0.14641452712496,0.0131471217878014,0.128747247902674
2.2,0.0192259501278185,0.155495656436237,0.0143710313477772,0.13476004523951
2.5,0.0213639284183646,0.164268943041593,0.0153674364854346,0.139421129070851
2.8,0.0235532445670711,0.17266409045229,0.0165690299923115,0.143914526377694
3.1,0.0258083453657403,0.180847820669442,0.0176446597712295,0.148111159092669
3.4,0.0280863527326923,0.18864970983412,0.0187885254443725,0.152661692135362
3.7,0.0303606486731068,0.196018681592823,0.0197232182167057,0.156004872900765
4,0.0326472273514021,0.203042517367122,0.020970216739205,0.160724190279203
4.3,0.0349521869275638,0.209922358418069,0.0218458759674481,0.16567160305187
4.6,0.0372628513683649,0.216675927184479,0.0231227458719352,0.170503785483962
4.9,0.0395783386616889,0.223235602949474,0.0240150209742698,0.173928219294472
