"power","mse","bias"
1.05,0.0260375780480978,0.426160093055247
1.1,0.026008415850349,0.425926945549606
1.5,0.025994697039354,0.425558388393653
1.8,0.026060254906896,0.426005013255802
2,0.0261638155962567,0.426697661000587
2.2,0.0262478541339726,0.427237920589162
2.5,0.0264144490819746,0.428691503798244
2.8,0.0265966817157783,0.429825074925752
3,0.0267016179705011,0.430762843920071
3.2,0.026791447362153,0.431302693664517
3.5,0.0270178149458258,0.433196274048885
3.7,0.0271577810017163,0.434139244427893
4,0.0273962708134978,0.436047665680259
