"tau","mse","bias"
1.1,0.0435095134146926,0.550271697712121
1.3,0.0393354061936138,0.523806634460375
1.5,0.0364653785369268,0.504754544657826
1.7,0.0343916529149727,0.490595551668975
1.9,0.0328365158647635,0.479653655309717
2.1,0.03163975803552,0.471014077855148
2.3,0.0306960675401542,0.464064396329735
2.5,0.0299413428020422,0.458332395783878
2.7,0.0293274221276854,0.453575734218153
2.9,0.0288227810471895,0.449610403956711
3.1,0.0284059717636198,0.446298122779465
3.3,0.0280585616327975,0.443484706221108
3.5,0.0277660538649737,0.441086390375667
3.7,0.0275208610294081,0.439053547154047
3.9,0.0273139199931545,0.437327599247839
4.1,0.0271389267087706,0.43584125373072
4.3,0.0269925053415229,0.434575807916028
4.5,0.0268688898536026,0.433486101704306
4.7,0.0267656355264588,0.43255892295294
4.9,0.02667957739462,0.431784826069253
5.1,0.0266092275313426,0.431142751249231
5.3,0.0265526081233915,0.430629463345983
5.5,0.0265077626483488,0.430235293529854
5.7,0.0264735929414879,0.429921498610107
5.9,0.0264487792261798,0.429688008814287
6.1,0.0264325328794786,0.42952993103274
6.3,0.026423887748783,0.429440980378789
6.5,0.0264220825069818,0.429418733475295
6.7,0.0264267890821547,0.429451303428766
6.9,0.026437295653702,0.429532753056433
7.1,0.0264530716067217,0.429653647404219
7.3,0.0264736702389925,0.429822808779029
