"tau","mse","bias"
0.2,0.0365601801715056,0.507920350812452
0.4,0.0339017930963514,0.488977631169215
0.6,0.0322058484903073,0.476162344184036
0.8,0.0314288820147173,0.469873659145763
1.1,0.0314407125455288,0.469671016468522
1.3,0.0320898372301888,0.474474693747813
1.5,0.033200371432808,0.482511559797672
1.7,0.0346982914326492,0.492997534103526
1.9,0.0365186740012613,0.505340789414415
2.1,0.0386340955227001,0.519104314023151
2.3,0.0409875934523618,0.534054900460594
2.5,0.0435034460143817,0.549501660875147
2.7,0.0461318176512735,0.565061457532828
